,0
1250,1
1251,1
1252,1
1253,5
1254,7
1255,1
1256,7
1257,7
1258,5
1259,1
1260,5
1261,1
1262,5
1263,1
1264,5
1265,7
1266,5
1267,5
1268,5
1269,7
1270,5
1271,5
1272,7
1273,5
1274,1
1275,5
1276,3
1277,1
1278,7
1279,5
1280,1
1281,5
1282,1
1283,1
1284,7
1285,3
1286,1
1287,1
1288,3
1289,7
1290,5
1291,1
1292,7
1293,1
1294,5
1295,7
1296,7
1297,7
1298,1
1299,3
1300,5
1301,7
1302,1
1303,5
1304,7
1305,1
1306,1
1307,1
1308,3
1309,1
1310,7
1311,1
1312,1
1313,5
1314,3
1315,7
1316,1
1317,7
1318,5
1319,5
1320,1
1321,1
1322,7
1323,7
1324,1
1325,1
1326,1
1327,7
1328,1
1329,1
1330,1
1331,1
1332,1
1333,1
1334,7
1335,7
1336,7
1337,1
1338,1
1339,7
1340,1
1341,1
1342,7
1343,1
1344,7
1345,5
1346,7
1347,5
1348,5
1349,7
1350,7
1351,1
1352,1
1353,7
1354,7
1355,1
1356,7
1357,1
1358,1
1359,5
1360,5
1361,5
1362,1
1363,1
1364,1
1365,7
1366,5
1367,5
1368,1
1369,3
1370,7
1371,3
1372,1
1373,1
1374,1
1375,5
1376,1
1377,1
1378,5
1379,1
1380,7
1381,1
1382,1
1383,7
1384,5
1385,5
1386,1
1387,7
1388,1
1389,1
1390,5
1391,5
1392,5
1393,1
1394,5
1395,5
1396,3
1397,7
1398,5
1399,1
1400,1
1401,7
1402,1
1403,7
1404,1
1405,7
1406,7
1407,1
1408,5
1409,3
1410,1
1411,1
1412,5
1413,3
1414,1
1415,7
1416,1
1417,5
1418,1
1419,1
1420,1
1421,7
1422,3
1423,1
1424,1
1425,1
1426,5
1427,7
1428,5
1429,1
1430,3
1431,3
1432,1
1433,1
1434,1
1435,1
1436,1
1437,1
1438,5
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,1
1447,1
1448,1
1449,1
1450,1
1451,7
1452,5
1453,1
1454,7
1455,7
1456,1
1457,3
1458,7
1459,7
1460,1
1461,7
1462,3
1463,1
1464,7
1465,1
1466,7
1467,7
1468,5
1469,5
1470,5
1471,1
1472,1
1473,1
1474,7
1475,7
1476,1
1477,7
1478,7
1479,5
1480,1
1481,7
1482,5
1483,1
1484,7
1485,5
1486,7
1487,7
1488,3
1489,3
1490,1
1491,5
1492,7
1493,1
1494,1
1495,5
1496,1
1497,1
1498,1
1499,5
1500,3
1501,1
1502,1
1503,1
1504,1
1505,3
1506,1
1507,7
1508,7
1509,3
1510,7
1511,7
1512,7
1513,10
1514,1
1515,1
1516,1
1517,7
1518,1
1519,1
1520,10
1521,5
1522,12
1523,5
1524,7
1525,1
1526,1
1527,5
1528,1
1529,1
1530,1
1531,7
1532,3
1533,3
1534,1
1535,1
1536,5
1537,7
1538,7
1539,1
1540,1
1541,1
1542,3
1543,7
1544,7
1545,5
1546,1
1547,5
1548,7
1549,7
